ID,snippet1,snippet2,harder,reason,_golden
1,"In the United States, the beaver is one of the largest members of the rodent family. This animal can manipulate the environment to suit its own needs and can even construct its own home. Beavers are vulnerable to predators when they are on dry land, so they need deep water for safety.","In optics and lens design, the Abbe number, also known as the V-number or constringence of a transparent material, is a measure of the material's dispersion (variation of refractiveindex versus wavelength), with high values of V indicating low dispersion. It is named after Ernst Abbe (1840–1905), the German physicist who defined it.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",FALSE
2,"An Abbe diagram is produced by plotting the Abbe number Vd of a material versus its refractive index nd. Glasses can then be categorised and selected according to their positions on the diagram. This can be a letter-number code, as used in the Schott Glasscatalogue, or a 6-digit glass code.","If nearby water is not deep enough, a beaver will build a dam to make the water deeper. A beaver dam can be very large and can contain thousands of pieces of wood cut by the beaver. Beavers even cut down small trees to eat the bark, leaves and twigs.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
3,"Beavers have other unusual characteristics that make them fascinating. Some of these flat-tailed creatures build homes called lodges while some live in holes in the riverbanks. Years ago, beavers were prized for their fur and so many were trapped that they almost became extinct. ","The types of physical measurements required under the Rockwood definition are similar to those required under the Trasatti definition, but they are used in a different way, e.g. in Rockwood's approach they are used to calculate the equilibrium vapor pressure of the electron gas. The numerical value for the absolute potential of the standard hydrogen electrode one would calculate under the Rockwood definition is sometimes fortuitously close to the value one would obtain under the Trasatti definition. This near-agreement in the numerical value depends on the choice of ambient temperature and standard states, and is the result of the near-cancellation of certain terms in the expressions.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
4,"Absolute zero is the lower limit of the thermodynamic temperature scale, a state at which the enthalpy and entropy of a cooled ideal gas reaches its minimum value, taken as 0. The theoretical temperature is determined by extrapolating the ideal gas law; by international agreement, absolute zero is taken as ?273.15 degrees on the Celsius scale, which equates to ?459.67 degrees on the Fahrenheit scale. The corresponding Kelvin and Rankine temperature scales set their zero points at absolute zero by definition.","Hunters found the beavers by looking for their dams and lodges, so some beavers stopped building and began living in riverbank holes. Even though beavers are now protected, some beavers still live in these holes, but most build lodges.  Even beavers that build lodges keep a few riverbank holes and escape tunnels to use in case of an emergency. ",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
5,"Another interesting feature of beavers is that they will store a bunch of branches under the water near their lodge to use as food during the winter. When their lake or stream is covered with ice, the beaver has a handy supply of food sealed under the ice.  A colony of beavers, which usually consists of five or more, can stay warm in their lodge with their food supply nearby. ","The laws of thermodynamics dictate that absolute zero cannot be reached using only thermodynamic means, as the temperature of the substance being cooled approaches the temperature of the cooling agent asymptotically. A system at absolute zero still possesses quantum mechanical zero-point energy, the energy of its ground state at absolute zero. Thekinetic energy of the ground state cannot be removed.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
6,"A perfect crystal is one in which the internal lattice structure extends uninterrupted in all directions. The perfect order can be represented by translational symmetry along three (not usually orthogonal) axes. Every lattice element of the structure is in its proper place, whether it is a single atom or a molecular grouping.","They can survive in their lodge for at least four months during the coldest days of winter. When spring comes and the ice thaws, beavers will feast on water lily tubers, clover and the new green shoots and bark of saplings, or small trees. Though the beavers eat tree branches and bark, this pruning actually helps some of the trees grow new branches, making them bushier the next year.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
7,"An adult human has about 206 bones.  These bones come in all shapes and sizes.  As people grow, the bones in their bodies are very much alive.","One model that estimates the properties of an electron gas at absolute zero in metals is the Fermi gas. The electrons, being Fermions, have to be in different quantum states, which leads the electrons to get very high typical velocities, even at absolute zero. The maximum energy that electrons can have at absolute zero is called the Fermi energy. ",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
8,"In 1998 two independent projects, the Supernova Cosmology Project and the High-Z Supernova Search Team simultaneously obtained results suggesting a totally unexpected acceleration in the expansion of the Universe by using distant type Ia supernovae as standard candles.] Three members of these two groups have subsequently been awarded Nobel Prizes for their discovery. Confirmatory evidence has been found in baryon acoustic oscillations and other new results about the clustering of galaxies.","Bones are constantly growing and changing along with the person.  One way they change is that bones in a young child are very soft, but as people get older, their bones gradually harden.  Bones are fully grown and have reached their maturity when someone reaches the age of 25.  ",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
9,"Bones have a number of different functions, but two of the most important are that bones provide support and protection for the body.  Bones give the body its shape and also protect sensitive organs like the heart, lungs, and brain.  Human bones are very strong, but, no matter how strong bones are, sometimes they break.  ","Other explanations for the accelerating universe include quintessence, a proposed form of dark energy with a non-constant state equation, whose density decreases with time. Dark fluidis an alternative explanation for accelerating expansion which attempts to unite dark matter and dark energy into a single framework. Alternatively, some authors have argued that the Universe's accelerated expansion could be due to a repulsive gravitational interaction of antimatter.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
10,"“Air mass” normally indicates relative air mass, the path length relative to that at the zenith at sea level so, by definition, the sea-level air mass at the zenith is 1. Air mass increases as the angle between the source and the zenith increases, reaching a value of approximately 38 at the horizon. Air mass can be less than one at an elevation greater than sea level; however, most closed-form expressions for air mass do not include the effects of elevation, so adjustment must usually be accomplished by other means.","A broken bone is called a fracture, which can be very painful. When people fracture a bone, they go to the doctor, who will try to fix the fracture.  For a while it hurts to move the injured part of the body; but fortunately, a doctor can fix a broken bone and make the injured person feel better.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
