ID,snippet1,snippet2,harder,reason,docID1,docID2,_golden
1,"The difficulties which suspended the execution of the 6th article of our treaty of amity, commerce, and navigation with Great Britain have not yet been removed.  The negotiation on this subject is still depending.  As it must be for the interest and honor of both nations to adjust this difference with good faith, I indulge confidently the expectation that the sincere endeavors of the Government of the United States to bring it to an amicable termination will not be disappointed.",His cruisers were out.  Two had arrived at Gibraltar.  Our commerce in the Mediterranean was blockaded and that of the Atlantic in peril.,,,12,13,
2,I observe with much satisfaction that the product of the revenue during the present year has been more considerable than during any former equal period.  This result affords conclusive evidence of the great resources of this country and of the wisdom and efficiency of the measures which have been adopted by Congress for the protection of commerce and preservation of public credit.  Gentlemen of the Senate and Gentlemen of the House of Representatives:,"Fellow Citizens of the Senate and House of Representatives:  It is a circumstance of sincere gratification to me that on meeting the great council of our nation I am able to announce to them on grounds of reasonable certainty that the wars and troubles which have for so many years afflicted our sister nations have at length come to an end, and that the communications of peace and commerce are once more opening among them.  Whilst we devoutly return thanks to the beneficent Being who has been pleased to breathe into them the spirit of conciliation and forgiveness, we are bound with peculiar gratitude to be thankful to Him that our own peace has been preserved through so perilous a season, and ourselves permitted quietly to cultivate the earth and to practice and improve those arts which tend to increase our comforts.",,,12,13,
3,I observe with much satisfaction that the product of the revenue during the present year has been more considerable than during any former equal period.  This result affords conclusive evidence of the great resources of this country and of the wisdom and efficiency of the measures which have been adopted by Congress for the protection of commerce and preservation of public credit.  Gentlemen of the Senate and Gentlemen of the House of Representatives:,"Other circumstances, combined with the increase of numbers, have produced an augmentation of revenue arising from consumption in a ratio far beyond that of population alone; and though the changes in foreign relations now taking place so desirably for the whole world may for a season affect this branch of revenue, yet weighing all probabilities of expense as well as of income, there is reasonable ground of confidence that we may now safely dispense with all the internal taxes, comprehending excise, stamps, auctions, licenses, carriages, and refined sugars, to which the postage on news papers may be added to facilitate the progress of information, and that the remaining sources of revenue will be sufficient to provide for the support of Government, to pay the interest of the public debts, and to discharge the principals within shorter periods than the laws or the general expectation had contemplated.  War, indeed, and untoward events may change this prospect of things and call for expenses which imposts could not meet; but sound principles will not justify our taxing the industry of our fellow citizens to accumulate treasure for wars to happen we know not when, and which might not, perhaps, happen but from the temptations offered by that treasure.  These views, however, of reducing our burthens are formed on the expectation that a sensible and at the same time a salutary reduction may take place in our habitual expenditures.",,,12,13,
4,"As one of the grand community of nations, our attention is irresistibly drawn to the important scenes which surround us.  If they have exhibited an uncommon portion of calamity, it is the province of humanity to deplore and of wisdom to avoid the causes which may have produced it.  If, turning our eyes homeward, we find reason to rejoice at the prospect which presents itself; if we perceive the interior of our country prosperous, free, and happy; if all enjoy in safety, under the protection of laws emanating only from the general will, the fruits of their own labor, we ought to fortify and cling to those institutions which have been the source of such real felicity and resist with unabating perseverance the progress of those dangerous innovations which may diminish their influence.","But the great mass of public offices is established by law, and therefore by law alone can be abolished.  Should the Legislature think it expedient to pass this roll in review and try all its parts by the test of public utility, they may be assured of every aid and light which Executive information can yield.  Considering the general tendency to multiply offices and dependencies and to increase expense to the ultimate term of burthen which the citizen can bear, it behooves us to avail ourselves of every occasion which presents itself for taking off the surcharge, that it never may be seen here that after leaving to labor the smallest portion of its earnings on which it can subsist, Government shall itself consume the whole residue of what it was instituted to guard.",,,12,13,
5,"I congratulate the people of the United States on the assembling of Congress at the permanent seat of their Government, and I congratulate you, gentlemen, on the prospect of a residence not to be changed.  Although there is cause to apprehend that accommodations are not now so complete as might be wished, yet there is great reason to believe that this inconvenience will cease with the present session.  It would be unbecoming the representatives of this nation to assemble for the first time in this solemn temple without looking up to the Supreme Ruler of the Universe and imploring His blessing.","These considerations render it important that we should at every session continue to amend the defects which from time to time shew themselves in the laws for regulating the militia until they are sufficiently perfect.  Nor should we now or at any time separate until we say we have done everything for the militia which we could do were an enemy at our door.  The provision of military stores on hand will be laid before you, that you may judge of the additions still requisite.",,,12,13,
6,"We are to view this position as an outpost of the United States, surrounded by strong neighbors and distant from its support; and how far that monopoly which prevents population should here be guarded against and actual habitation made a condition of the continuance of title will be for your consideration.  A prompt settlement, too, of all existing rights and claims within this territory presents itself as a preliminary operation.  In that part of the Indiana Territory which includes Vincennes the lines settled with the neighboring tribes fix the extinction of their title at a breadth of 24 leagues from east to west and about the same length parallel with and including the Wabash.","As one of the grand community of nations, our attention is irresistibly drawn to the important scenes which surround us.  If they have exhibited an uncommon portion of calamity, it is the province of humanity to deplore and of wisdom to avoid the causes which may have produced it.  If, turning our eyes homeward, we find reason to rejoice at the prospect which presents itself; if we perceive the interior of our country prosperous, free, and happy; if all enjoy in safety, under the protection of laws emanating only from the general will, the fruits of their own labor, we ought to fortify and cling to those institutions which have been the source of such real felicity and resist with unabating perseverance the progress of those dangerous innovations which may diminish their influence.",,,14,12,
7,"But in addition we find in some parts of Europe monopolizing discriminations, which in the form of duties tend effectually to prohibit the carrying thither our own produce in our own vessels.  From existing amities and a spirit of justice it is hoped that friendly discussion will produce a fair and adequate reciprocity.  But should false calculations of interest defeat our hope, it rests with the Legislature to decide whether they will meet inequalities abroad with countervailing inequalities at home, or provide for the evil in any other way.","The envoys extraordinary and ministers plenipotentiary from the United States to France were received by the First Consul with the respect due to their character, and 3 persons with equal powers were appointed to treat with them.  Although at the date of the last official intelligence the negotiation had not terminated, yet it is to be hoped that our efforts to effect an accommodation will at length meet with a success proportioned to the sincerity with which they have been so often repeated.  While our best endeavors for the preservation of harmony with all nations will continue to be used, the experience of the world and our own experience admonish us of the insecurity of trusting too confidently to their success.",,,14,12,
8,"Experience, too, so far, authorizes us to believe, if no extraordinary event supervenes, and the expenses which will be actually incurred shall not be greater than were contemplated by Congress at their last session, that we shall not be disappointed in the expectations then formed.  But nevertheless, as the effect of peace on the amount of duties is not yet fully ascertained, it is the more necessary to practice every useful economy and to incur no expense which may be avoided without prejudice.  The collection of the internal taxes having been completed in some of the States, the officers employed in it are of course out of commission.","It is with you, gentlemen, to consider whether the local powers over the District of Columbia vested by the Constitution in the Congress of the United States shall be immediately exercised.  If in your opinion this important trust ought now to be executed, you can not fail while performing it to take into view the future probable situation of the territory for the happiness of which you are about to provide.  You will consider it as the capital of a great nation advancing with unexampled rapidity in arts, in commerce, in wealth, and in population, and possessing within itself those energies and resources which, if not thrown away or lamentably misdirected, will secure to it a long course of prosperity and self-government.",,,14,12,
9,"There was reason not long since to apprehend that the warfare in which we were engaged with Tripoli might be taken up by some other of the Barbary Powers.  A reenforcement, therefore, was immediately ordered to the vessels already there.  Subsequent information, however, has removed these apprehensions for the present.",I observe with much satisfaction that the product of the revenue during the present year has been more considerable than during any former equal period.  This result affords conclusive evidence of the great resources of this country and of the wisdom and efficiency of the measures which have been adopted by Congress for the protection of commerce and preservation of public credit.  Gentlemen of the Senate and Gentlemen of the House of Representatives:,,,14,12,
10,"Experience, too, so far, authorizes us to believe, if no extraordinary event supervenes, and the expenses which will be actually incurred shall not be greater than were contemplated by Congress at their last session, that we shall not be disappointed in the expectations then formed.  But nevertheless, as the effect of peace on the amount of duties is not yet fully ascertained, it is the more necessary to practice every useful economy and to incur no expense which may be avoided without prejudice.  The collection of the internal taxes having been completed in some of the States, the officers employed in it are of course out of commission.","At a considerable expense to the public this manufacture has been brought to such a state of maturity as, with continued encouragement, will supersede the necessity of future importations from foreign countries.  Gentlemen of the House of Representatives:  I shall direct the estimates of the appropriations necessary for the ensuing year, together with an account of the public revenue and expenditure to a late period, to be laid before you.",,,14,12,
